account_name,account_type,industry,city,country,website,main_phone,owner,status,notes
Jubail O & M Ltd Company,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
SIMPLE SOLUTIONS COMPANY,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
Gas Solutions Company,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Gas Solutions,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Dar Al-Mughirah Industrial Company,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
Alfreid TRADING COMPANY,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
alfreid trading,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
Zamil offshore,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
AlYamama,Prospect / Customer,Power & Water,,Saudi Arabia,,,,Active,Migrated from pipeline; Customer Name
BASMA ELITE TRADING COMPANY,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
petropan,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
ADWAN Marketing Co. Ltd.,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
MGATE,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
GULF SUPPLIES TRADING COMPANY,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
Danah Real Estate,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
iearabia,Prospect / Customer,Power & Water,,Saudi Arabia,,,Basith Ahmed,Active,Migrated from pipeline; Customer Name
Gas Equipment Contract & Trading,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
martej,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
ARA,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
delta-globaltrading,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
Gulf Cryo,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,,Active,Migrated from pipeline; Customer Name
Gas Equipment & Contracting Co.,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
WestRock Bahrin,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
Masar Solution for Building Material Trading Est.,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Jeem Al Arabia,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
Yasserf,Prospect / Customer,Petrochemical,,Saudi Arabia,,,,Active,Migrated from pipeline; Inferred from End User
SWA,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
ASTERA GROUP,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
actssaudi,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Basith Ahmed,Active,Migrated from pipeline; Customer Name
Alazzaz trading & cantracting CO.,Prospect / Customer,Materials,,Saudi Arabia,,,Basith Ahmed,Active,Migrated from pipeline; Customer Name
IMI,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
HADEED ALRAJHI STEEL,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
Yansab,Prospect / Customer,Petrochemical,,Saudi Arabia,,,,Active,Migrated from pipeline; Customer Name
INFINITY WORK TRADING COMPANY,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Basith Ahmed,Active,Migrated from pipeline; Customer Name
Petrojet,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
Jubail O & M Limited Co.,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Saudi Development Company LTD,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Subway Networks,Prospect / Customer,Petrochemical,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
Subway Electricals,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
TANAJIB Operation and Maintenance Company (TOMCO),Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Fadhili O&M Company,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Basith Ahmed,Active,Migrated from pipeline; Inferred from End User
CHEMAOIL,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
Advanced Petrochemical,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Basith Ahmed,Active,Migrated from pipeline; Customer Name
Gas Equipment and Contracting,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
YASREF,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
ENG Mohamed Abaza,Prospect / Customer,Power & Water,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
مهندس نواف,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
HADEED - AL RAJHI STEEL,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
Global pipe,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Inferred from End User
AMINAT,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
Midal Cables,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
Haif,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
Alazzaz Trading & Contracting Co.,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Mark Technologies Company,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
KJO,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Basith Ahmed,Active,Migrated from pipeline; Customer Name
Almeer,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Activities for Electromechanical Works,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
National Gas,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Rawabi Specialized Company,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
Modern Egyptian Natural Gas Company,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Rawabi Contracting Specialized,Prospect / Customer,Power & Water,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
INMA Kingkom Trading,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
Modern Gas,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Saudi Electricity Company-SEC,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
s3c,Prospect / Customer,Chemical,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
SEC - FARSAN,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
SAFCO,Prospect / Customer,Petrochemical,,Saudi Arabia,,,,Active,Migrated from pipeline; Customer Name
Maadan Aluminum,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Rawabi Specialized Contracting,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
Contemporary Structure Co.,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
Al Sawab Commercial company,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Rawad Al Bina Contracting,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
HILAL INDUSTRIAL SUPPLIES & SERVICES,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Safra Refinery,Prospect / Customer,Petrochemical,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
STOM,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
STOM - Saudi Tabreed,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
Tamimi markets,Prospect / Customer,Food & Beverage,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
AL othaim market EMS,Prospect / Customer,Food & Beverage,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
حمود شركة الاستزراع السمكي,Prospect / Customer,Food & Beverage,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
sedra mall riyadah,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Inferred from End User
Lateen water Qunfoza,Prospect / Customer,Food & Beverage,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Inferred from End User
Al Hayah hospital Abha,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Inferred from End User
pepsico,Prospect / Customer,Food & Beverage,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Inferred from End User
Company GHAZ AL-WOULI Ltd.,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
STAR SQUARES COMPANY LTD [SSQ],Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Global Pipe Company,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Aramco-Saudi Arabian Oil Company,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Star Square Company Ltd,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
SEDRA GROUP,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Inferred from End User
